==============================================================================
MEDIA-PLAYBACK-REVIEWERS AUTHOR-PATCH LISTING (raw author %an, no aliasing)
Source: github.com/mozilla-firefox/firefox   Paths: dom/media   Since: 2025-12-03T18:46:16Z
Excluded paths: dom/media/webrtc, dom/media/systemservices
Authors: 63    Patches: 681    (Lando-format / Lando-author / merge / Revert commits already excluded)
==============================================================================

Known aliases (applied in HTML report, NOT below):
  alastor0325, alwu  ->  Alastor Wu
  az  ->  azebrowski

==============================================================================

[ 1] Alastor Wu  —  88 patch(es)
    ----------------------------------------------------------------------
      2026-02-06  b418243a4446  Bug 1707584 - part6 : defer pausing video element during the style refresh. r=emilio
      2026-02-06  4c0c504a8868  Bug 1707584 - part4 : implement :muted pseudo class. r=media-playback-reviewers,firefox-style-system-reviewers,emilio,chunmin
      2026-02-06  b25ca8c165a0  Bug 1707584 - part3 : implement :buffering and :stalled pseudo classes. r=media-playback-reviewers,firefox-style-system-reviewers,emilio,chunmin
      2026-02-06  90eb82c617c1  Bug 1707584 - part2 : implement :seeking pseudo class. r=media-playback-reviewers,firefox-style-system-reviewers,emilio,chunmin
      2026-02-06  7edf28d1aba2  Bug 1707584 - part1 : implement :playing and :paused pseudo classes. r=media-playback-reviewers,firefox-style-system-reviewers,emilio,chunmin
      2026-02-05  cc9c51c3dd5c  Bug 1707584 - part4 : implement :muted pseudo class. r=media-playback-reviewers,firefox-style-system-reviewers,emilio,chunmin
      2026-02-05  606b5bcb40aa  Bug 1707584 - part3 : implement :buffering and :stalled pseudo classes. r=media-playback-reviewers,firefox-style-system-reviewers,emilio,chunmin
      2026-02-05  adc25451597d  Bug 1707584 - part2 : implement :seeking pseudo class. r=media-playback-reviewers,firefox-style-system-reviewers,emilio,chunmin
      2026-02-05  4c7319eb8292  Bug 1707584 - part1 : implement :playing and :paused pseudo classes. r=media-playback-reviewers,firefox-style-system-reviewers,emilio,chunmin

[ 2] Andrew Osmond  —  68 patch(es)
    ----------------------------------------------------------------------
      2026-05-26  51afa835e894  Bug 2041969 - Ensure MatroskaDemuxer extracts audio codec binary blob for Opus. r=media-playback-reviewers,alwu
      2026-05-19  b83751d861f0  Bug 2040665 - Use IPDL refcounted actors for PRemoteDecoder, PMFCDM and PMFMediaEngine. r=media-playback-reviewers,alwu
      2026-05-15  8dac2e8cfa64  Bug 2036872 - Use IPDL refcounted actors for GMP. r=media-playback-reviewers,alwu
      2026-05-04  f7540b73ec99  Bug 2036872 - Use IPDL refcounted actors for GMP. r=media-playback-reviewers,alwu
      2026-04-15  5cf3cf6b4ecb  Bug 2022390. r=media-playback-reviewers,padenot
      2026-04-14  bddb59f59f0c  Bug 2022390. r=media-playback-reviewers,padenot
      2026-04-13  5b41f1930a2b  Bug 2023880. r=media-playback-reviewers,padenot
      2026-04-13  ae1b6eb6cfbc  Bug 2030467. r=media-playback-reviewers,padenot
      2026-04-07  315e8c2f54f7  Bug 2024238. r=media-playback-reviewers,padenot
      2026-04-07  9951ab5ea3ec  Bug 2025471. r=media-playback-reviewers,padenot
      2026-04-07  3321d88c85e8  Bug 2025488. r=media-playback-reviewers,kinetik
      2026-04-07  e15200cbea8d  Bug 2025506. r=media-playback-reviewers,kinetik
      2026-04-03  e209ef10c94d  Bug 2027161 - Simplify GMP plugin and actor lifetimes. r=media-playback-reviewers,azebrowski
      2026-03-31  53438185bca1  Bug 2025578. r=media-playback-reviewers,alwu
      2026-03-30  a9bb9e500e26  Bug 2027342. r=media-playback-reviewers,padenot
      2026-03-30  8859aa94bcf8  Bug 2025583. r=media-playback-reviewers,padenot
      2026-03-30  46a02b4c6654  Bug 2027151. r=media-playback-reviewers,padenot
      2026-03-30  2595076932c3  Bug 2027152. r=media-playback-reviewers,padenot
      2026-03-29  497baa67e664  Bug 2022373. r=media-playback-reviewers,padenot
      2026-03-28  bea8bb1bc06c  Bug 2022373. r=media-playback-reviewers,padenot
      2026-03-28  03883b0fe68d  Bug 2025513. r=media-playback-reviewers,alwu
      2026-03-28  1a664d16b7a7  Bug 2025429. r=media-playback-reviewers,alwu
      2026-03-28  f854234d72fe  Bug 2025495. r=media-playback-reviewers,padenot
      2026-03-28  92b78829144a  Bug 2025513. r=media-playback-reviewers,alwu
      2026-03-28  f1b5d33eed18  Bug 2022373. r=media-playback-reviewers,padenot
      2026-03-27  8903a76b5d65  Bug 1999158. r=media-playback-reviewers,padenot
      2026-03-27  956f17570f89  Bug 2025492. r=media-playback-reviewers,kinetik
      2026-03-24  45e63ec63f65  Bug 2023254 - Avoid lifetime issues when tearing down RemoteMediaDataEncoderChild and RemoteCDMChild. r=media-playback-reviewers,jolin
      2026-03-16  9f64d4e42163  Bug 2023255 - Fix inverted return value check when converting to AVCC in FFmpegVideoEncoder on Android. r=media-playback-reviewers,padenot
      2026-03-10  04d3315d9b42  Bug 2014611 - Prepend SPS/PPS data for H264 AnnexB keyframes with Android ffmpeg encoders if missing. r=media-playback-reviewers,jolin
      2026-03-10  22e0e773eddb  Bug 2014292 - Make FFmpegVideoDecoder supply H264/HEVC extradata in correct form. r=media-playback-reviewers,jolin,alwu
      2026-02-03  8289157dfa7c  Bug 2008471 - Ensure media.ffvpx-hw.enabled is honoured for video decoders. r=media-playback-reviewers,jolin
      2026-02-03  f839efefb114  Bug 2014176 - Add checks for empty Maybe<TimeUnit> in MediaDecoder::CallSeek logs. r=media-playback-reviewers,padenot
      2026-01-30  1817545d3481  Bug 2013382 - Cleanup MediaCodec outstanding output buffers and HW device context. r=media-playback-reviewers,alwu
      2026-01-29  18ed725f957a  Bug 2013378 - Add checks for empty Maybe<TimeUnit> in MediaDecoderStateMachine::LoopingDecodingState logs. r=media-playback-reviewers,azebrowski
