==============================================================================
GFX-REVIEWERS AUTHOR-PATCH LISTING (raw author %an, no aliasing)
Source: github.com/mozilla-firefox/firefox   Paths: gfx, image, dom/canvas, dom/webgpu   Since: 2025-12-06T21:52:34Z
Excluded paths: gfx/angle, gfx/cairo, gfx/skia, gfx/harfbuzz, gfx/ots, gfx/sfntly, gfx/graphite2
Authors: 105    Patches: 1348    (Lando-format / Lando-author / merge / Revert commits already excluded)
==============================================================================

Known aliases (applied in HTML report, NOT below):
  alastor0325, alwu  ->  Alastor Wu
  az  ->  azebrowski

==============================================================================

[ 1] Nicolas Silva  —  229 patch(es)
    ----------------------------------------------------------------------
      2026-02-17  0c5b980747a1  Bug 2016067 - Begin moving the pattern code into a sub-directory. r=gw
      2026-02-17  5ddbc75edaf1  Bug 1978773 - Cache quad linear gradients in some cases. r=gfx-reviewers,gw
      2026-02-16  d14c4e9baf32  Bug 2016114 - Remove the non-precise quad radial and conic gradient shaders. r=gw
      2026-02-16  b5efd81467ec  Bug 2016067 - Move the box-shadow pattern into the pattern module. r=gw
      2026-02-16  2ad223f87605  Bug 2016067 - Begin moving the pattern code into a sub-directory. r=gw
      2026-02-16  46ff34e9db4e  Bug 1978773 - Cache quad linear gradients in some cases. r=gfx-reviewers,gw
      2026-02-14  b44f3f4531ab  Bug 1978773 - Cache quad linear gradients in some cases. r=gfx-reviewers,gw
      2026-02-13  cf771bae4e13  Bug 1998432 - Rename ClipSpace::Raster into ClipSpace::Device. r=gw
      2026-02-13  6b5dd2d3970c  Bug 1998432 - Round non-anti-aliased edges edges when in device space. r=gw
      2026-02-11  0bbd371a4530  Bug 1998432 - Rename ClipSpace::Raster into ClipSpace::Device. r=gw
      2026-02-11  97e24f62a32d  Bug 1998432 - Round non-anti-aliased edges edges when in device space. r=gw
      2026-02-11  6c23ca6f6e14  Bug 2015805 - Fix unwanted anti-aliasing of indirect primitives with SWGL. r=gw
      2026-02-11  79fc088e22ff  Bug 2015400 - Add wrench reftests for the interaction between AA and primitive segmentation. r=gw
      2026-02-11  7fc68771222f  Bug 2015400 - Properly extrude AA segments when a subset of edges are anti-aliased. r=gw
      2026-02-11  ac68be9588cd  Bug 2015400 - Wire up edge flags properly for quad primitives. r=gw
      2026-02-11  4a212357dcb1  Bug 2015400 - Only anti-alias the selected edges in the quad shader. r=gw
      2026-02-11  3b2ddefac962  Bug 2015400 - Fix incorrect parameters in quad AA segments. r=gw
      2026-02-11  0d22184ff2cd  Bug 2015805 - Fix unwanted anti-aliasing of indirect primitives with SWGL. r=gw
      2026-02-11  3b57528ee13f  Bug 2015400 - Add wrench reftests for the interaction between AA and primitive segmentation. r=gw
