==============================================================================
LAYOUT-REVIEWERS AUTHOR-PATCH LISTING (raw author %an, no aliasing)
Source: github.com/mozilla-firefox/firefox   Paths: layout   Since: 2026-03-12T17:06:31Z
Excluded paths: (none)
Authors: 121    Patches: 1326    (Lando-format / Lando-author / merge / Revert commits already excluded)
==============================================================================

Known aliases (applied in HTML report, NOT below):
  alastor0325, alwu  ->  Alastor Wu
  az  ->  azebrowski

==============================================================================

[ 1] Emilio Cobos Álvarez  —  242 patch(es)
    ----------------------------------------------------------------------
      2026-04-20  200837ed3b75  Bug 2033242 - Rename ownerDocGlobal to documentGlobal, and use it where appropriate in child actors and remote/. r=firefox-desktop-core-reviewers ,credential-management-reviewers,devtools-reviewers,migration-reviewers,frontend-codestyle-reviewers,ai-platform-reviewers,jdescottes,dimi,dao,Gijs,webidl,smaug
      2026-04-20  2ece7433794d  Bug 2033405 - Clean up existing usages of MockFilePicker.init(). r=dom-core,mtigley,extension-reviewers,credential-management-reviewers,devtools-reviewers,omc-reviewers,migration-reviewers,profiles-reviewers,layout-reviewers,emz,fchasen,nchevobbe,mconley,smaug,mossop,robwu,hanna_a,jwatt
      2026-04-20  2d64b1186982  Bug 2032954 - Make map_origin_color not eat error for unresolvable color. r=firefox-style-system-reviewers,layout-reviewers,gerard-majax,dshin
      2026-04-18  143c9f198863  Bug 2033086 - Fix border-radius for single line inputs. r=layout-reviewers,dshin
      2026-04-18  f097472815c1  Bug 2022763 - Propagate owner global from input element to DOM files properly. r=dom-core,win-reviewers,smaug,gstoll,devtools-reviewers,jdescottes
      2026-04-17  0f7505426190  Bug 2022763 - Propagate owner global from input element to DOM files properly. r=dom-core,win-reviewers,smaug,gstoll,devtools-reviewers,jdescottes
      2026-04-17  078e3b6871fd  Bug 2032987 - Apply min/max block size to field control's fixed size. r=layout-reviewers,dshin
      2026-04-17  c6fe72e8c3f2  Bug 2033086 - Fix GetActualScrollbarSizes for single line inputs. r=layout-reviewers,dshin
      2026-04-17  85b2d0d3dd20  Bug 2022763 - Clean up existing usages of MockFilePicker.init(). r=dom-core,mtigley,extension-reviewers,credential-management-reviewers,devtools-reviewers,omc-reviewers,migration-reviewers,profiles-reviewers,layout-reviewers,emz,fchasen,nchevobbe,mconley,smaug,mossop,robwu,hanna_a,jwatt
      2026-04-17  ff40c521b24c  Bug 2022763 - Propagate owner global from input element to DOM files properly. r=dom-core,win-reviewers,smaug,gstoll
      2026-04-17  eaf0d0363707  Bug 1977176 - Implement field-sizing for <input> / <textarea>. r=keithamus,layout-reviewers,dholbert
      2026-04-16  34b249c82e8b  Bug 2031757 - Rejigger text input / textarea rendering to make field-sizing easier. r=layout-reviewers,devtools-reviewers,fxview-reviewers,firefox-style-system-reviewers,ochameau,jsudiaman,dshin
      2026-04-16  81ef425716c9  Bug 2031757 - Rejigger text input / textarea rendering to make field-sizing easier. r=layout-reviewers,devtools-reviewers,fxview-reviewers,firefox-style-system-reviewers,ochameau,jsudiaman,dshin
      2026-04-15  51d51c3b3364  Bug 2031757 - Rejigger text input / textarea rendering to make field-sizing easier. r=layout-reviewers,devtools-reviewers,fxview-reviewers,firefox-style-system-reviewers,ochameau,jsudiaman,dshin
